연번,분류,주성분코드,제품코드,제품명,업체명,ATC코드,ATC코드명칭,비고
40,113,123102ATR,657200530,에필렙톨씨알정(카르바마제핀)_(0.2g/1정),환인제약(주),N03AF01,carbamazepine,
41,113,123102ATR,649802760,카르마인씨알정(카르바마제핀)_(0.2g/1정),명문제약(주),N03AF01,carbamazepine,
42,113,123102ATR,651901840,카마제핀씨알정200밀리그람(카르바마제핀)_(0.2g/1정),명인제약(주),N03AF01,carbamazepine,
43,113,123102ATR,653601120,테그레톨씨알정200밀리그램(카르바마제핀)_(0.2g/1정),한국노바티스(주),N03AF01,carbamazepine,
44,113,123104ATR,642201050,부광티모닐서방정300밀리그램(카르바마제핀)_(0.3g/1정),부광약품(주),N03AF01,carbamazepine,
45,113,123104ATR,651901850,카마제핀씨알정300밀리그람(카르바마제핀)_(0.3g/1정),명인제약(주),N03AF01,carbamazepine,
46,113,123130ASY,653601111,테그레톨시럽2%(카르바마제핀)_(2g/100mL),한국노바티스(주),N03AF01,carbamazepine,
47,113,136401ATB,645000160,리보트릴정(클로나제팜)_(0.5mg/1정),(주)한국로슈,N03AE01,clonazepam,
48,113,136401ATB,657202690,환인클로나제팜정0.5밀리그램_(0.5mg/1정),환인제약(주),N03AE01,clonazepam,
49,113,146801ACH,642201070,부광페니토인캡슐100밀리그램_(0.1g/1캡슐),부광약품(주),N03AB02,phenytoin,
50,113,146801ATB,651900910,명인페니토인100밀리그람정_(0.1g/1정),명인제약(주),N03AB02,phenytoin,
51,113,146801ATB,657201120,환인히단토인정(페니토인)_(0.1g/1정),환인제약(주),N03AB02,phenytoin,
52,113,147701ATE,644200120,데파코트정250밀리그람(디발프로엑스나트륨)_(0.2691g/1정),한국애보트(주),N03AG01,valproic acid,
53,113,147701ATR,644200080,데파코트서방정250mg(디발프로엑스나트륨)_(0.2691g/1정),한국애보트(주),N03AG01,valproic acid,
54,113,147702ATR,644200090,데파코트서방정500㎎(디발프로엑스나트륨)_(0.5381g/1정),한국애보트(주),N03AG01,valproic acid,
55,113,147801ACH,644200100,데파코트스프링클캅셀(디발프로엑스나트륨입자)_(0.2263g/1캡슐),한국애보트(주),N03AG01,valproic acid,
56,113,155901ACS,661904040,자론티연질캡슐(에토숙시미드)_(0.25g/1캡슐),영풍제약(주),N03AD01,ethosuximide,
57,113,164201ACH,647800210,뉴로카바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),삼진제약(주),N03AX12,gabapentin,
58,113,164201ACH,652601470,펜다운캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),알보젠코리아(주),N03AX12,gabapentin,
59,113,164201ACH,646004290,뉴로닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)메디카코리아,N03AX12,gabapentin,
60,113,164201ACH,643300030,가바렙캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),(주)종근당,N03AX12,gabapentin,
61,113,164201ACH,642003570,현대가바펜틴캡슐100밀리그램_(0.1g/1캡슐),현대약품(주),N03AX12,gabapentin,
62,113,164201ACH,643700900,네오펜틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),국제약품(주),N03AX12,gabapentin,
63,113,164201ACH,642900470,메가펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),일동제약(주),N03AX12,gabapentin,
64,113,164201ACH,642800030,가바틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),고려제약(주),N03AX12,gabapentin,
65,113,164201ACH,627600190,피엠에스가바펜틴캡슐100밀리그램_(0.1g/1캡슐),파마사이언스코리아(주),N03AX12,gabapentin,
66,113,164201ACH,648900060,뉴론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한국화이자제약(주),N03AX12,gabapentin,
67,113,164201ACH,677100500,펜믹스가바펜틴캡슐100밀리그램_(0.1g/1캡슐),(주)펜믹스,N03AX12,gabapentin,
68,113,164201ACH,642500370,동아가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),동아에스티(주),N03AX12,gabapentin,
69,113,164201ACH,657200060,뉴렙톨캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),환인제약(주),N03AX12,gabapentin,
70,113,164201ACH,626900660,테바가바펜퀄캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)한독테바,N03AX12,gabapentin,
71,113,164201ACH,643500010,가바페닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한미약품(주),N03AX12,gabapentin,
72,113,164201ACH,656003910,가바로닌캡슐100mg(가바펜틴)_(0.1g/1캡슐),알리코제약(주),N03AX12,gabapentin,
73,113,164201ACH,644603330,가바인캡슐100mg(가바펜틴)_(0.1g/1캡슐),조아제약(주),N03AX12,gabapentin,
74,113,164201ACH,645208810,가베틴캡슐100밀림그램(가바펜틴)_(0.1g/1캡슐),에이프로젠제약(주),N03AX12,gabapentin,
75,113,164201ACH,694000960,네버펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),대웅바이오(주),N03AX12,gabapentin,
76,113,164201ACH,657800080,뉴가바캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),하나제약(주),N03AX12,gabapentin,
77,113,164201ACH,693902110,뉴로가펜캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)셀트리온제약,N03AX12,gabapentin,
78,113,164201ACH,670100070,뉴로스캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),우리들제약(주),N03AX12,gabapentin,
79,113,164201ACH,625201160,뉴펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)화이트제약,N03AX12,gabapentin,
80,113,164201ACH,656204520,레고펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)레고켐제약,N03AX12,gabapentin,
81,113,164201ACH,661604560,알피가바펜틴캡슐100mg_(0.1g/1캡슐),(주)알피바이오,N03AX12,gabapentin,
82,113,164201ACH,649502220,유니론틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),유니메드제약(주),N03AX12,gabapentin,
83,113,164201ACH,670301470,코오롱가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),코오롱제약(주),N03AX12,gabapentin,
84,113,164201ACH,653002670,파마가바펜틴캡슐100밀리그람_(0.1g/1캡슐),(주)한국파마,N03AX12,gabapentin,
85,113,164201ACH,699801440,뉴론가바캡슐(가바펜틴)_(0.1g/1캡슐),제이에스제약(주),N03AX12,gabapentin,
86,113,164201ACH,694204770,가바텐션캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),정우신약(주),N03AX12,gabapentin,
87,113,164201ACH,696601620,바로펜틴캡슐100mg(가바펜틴)_(0.1g/1캡슐),일양바이오팜(주),N03AX12,gabapentin,
88,113,164201ACH,621802910,가바스탄캡슐100mg(가바펜틴)_(0.1g/1캡슐),(주)한국파비스제약,N03AX12,gabapentin,
89,113,164202ACH,657300010,가바피나캡슐(가바펜틴)_(0.3g/1캡슐),(주)동구바이오제약,N03AX12,gabapentin,
90,113,164202ACH,646800020,건일가바펜틴캡슐300밀리그램_(0.3g/1캡슐),건일제약(주),N03AX12,gabapentin,
91,113,164202ACH,656700140,넬슨가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),한국넬슨제약(주),N03AX12,gabapentin,
92,113,164202ACH,656204530,레고펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)레고켐제약,N03AX12,gabapentin,
93,113,164202ACH,642003590,현대가바펜틴캡슐300밀리그램_(0.3g/1캡슐),현대약품(주),N03AX12,gabapentin,
94,113,164202ACH,626900680,테바가바펜퀄캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)한독테바,N03AX12,gabapentin,
95,113,164202ACH,621801130,가바스탄캡슐(가바펜틴)_(0.3g/1캡슐),(주)한국파비스제약,N03AX12,gabapentin,
96,113,164202ACH,653002660,파마가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),(주)한국파마,N03AX12,gabapentin,
97,113,164202ACH,642800040,가바틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),고려제약(주),N03AX12,gabapentin,
98,113,164202ACH,651900030,가펜틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),명인제약(주),N03AX12,gabapentin,
99,113,164202ACH,642500360,동아가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),동아에스티(주),N03AX12,gabapentin,
100,113,164202ACH,648900070,뉴론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한국화이자제약(주),N03AX12,gabapentin,
101,113,164202ACH,627600180,피엠에스가바펜틴캡슐300밀리그램_(0.3g/1캡슐),파마사이언스코리아(주),N03AX12,gabapentin,
102,113,164202ACH,657200070,뉴렙톨캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),환인제약(주),N03AX12,gabapentin,
103,113,164202ACH,647800200,뉴로카바캡슐(가바펜틴)_(0.3g/1캡슐),삼진제약(주),N03AX12,gabapentin,
104,113,164202ACH,646000120,뉴로닌캡슐(가바펜틴)_(0.3g/1캡슐),(주)메디카코리아,N03AX12,gabapentin,
105,113,164202ACH,642900480,메가펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),일동제약(주),N03AX12,gabapentin,
106,113,164202ACH,644801930,태극가바펜틴캡슐_(0.3g/1캡슐),태극제약(주),N03AX12,gabapentin,
107,113,164202ACH,652601460,펜다운캡슐(가바펜틴)_(0.3g/1캡슐),알보젠코리아(주),N03AX12,gabapentin,
108,113,164202ACH,643500020,가바페닌캡슐(가바펜틴)_(0.3g/1캡슐),한미약품(주),N03AX12,gabapentin,
109,113,164202ACH,648500010,가바론캡슐300mg(가바펜틴)_(0.3g/1캡슐),신풍제약(주),N03AX12,gabapentin,
110,113,164202ACH,670100060,뉴로스캡슐(가바펜틴)_(0.3g/1캡슐),우리들제약(주),N03AX12,gabapentin,
111,113,164202ACH,649502210,유니론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),유니메드제약(주),N03AX12,gabapentin,
112,113,164202ACH,658200090,뉴바틴캡슐(가바펜틴)_(0.3g/1캡슐),이니스트바이오제약(주),N03AX12,gabapentin,
113,113,164202ACH,648602860,가바렉스캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)씨엠지제약,N03AX12,gabapentin,
114,113,164202ACH,643300040,가바렙캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),(주)종근당,N03AX12,gabapentin,
115,113,164202ACH,656003900,가바로닌캡슐300mg(가바펜틴)_(0.3g/1캡슐),알리코제약(주),N03AX12,gabapentin,
116,113,164202ACH,649102080,가바스틸캡슐300mg(가바펜틴)_(0.3g/1캡슐),한국휴텍스제약(주),N03AX12,gabapentin,
117,113,164202ACH,644603290,가바인캡슐300mg(가바펜틴)_(0.3g/1캡슐),조아제약(주),N03AX12,gabapentin,
118,113,164202ACH,693201330,가바킹캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)한국글로벌제약,N03AX12,gabapentin,
119,113,164202ACH,648100010,가바펜캡슐(가바펜틴)_(0.3g/1캡슐),경동제약(주),N03AX12,gabapentin,
120,113,164202ACH,645201210,가베틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),에이프로젠제약(주),N03AX12,gabapentin,
121,113,164202ACH,658600020,가벤틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),이연제약(주),N03AX12,gabapentin,
122,113,164202ACH,625800340,가틴캡슐(가바펜틴)_(0.3g/1캡슐),메딕스제약(주),N03AX12,gabapentin,
123,113,164202ACH,694000140,네버펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),대웅바이오(주),N03AX12,gabapentin,
124,113,164202ACH,643700890,네오펜틴캡슐(가바펜틴)_(0.3g/1캡슐),국제약품(주),N03AX12,gabapentin,
125,113,164202ACH,657800090,뉴가바캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),하나제약(주),N03AX12,gabapentin,
126,113,164202ACH,646203750,뉴가펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)뉴젠팜,N03AX12,gabapentin,
127,113,164202ACH,645604580,뉴로가바캡슐(가바펜틴)_(0.3g/1캡슐),대화제약(주),N03AX12,gabapentin,
128,113,164202ACH,644300240,뉴로펜틴캡슐(가바펜틴)_(0.3g/1캡슐),한국유나이티드제약(주),N03AX12,gabapentin,
129,113,164202ACH,657500130,뉴벤틴캡슐(가바펜틴)_(0.3g/1캡슐),미래제약(주),N03AX12,gabapentin,
130,113,164202ACH,625200390,뉴펜틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)화이트제약,N03AX12,gabapentin,
131,113,164202ACH,649601090,바론틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),대우제약(주),N03AX12,gabapentin,
132,113,164202ACH,674400660,아바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),아이큐어(주),N03AX12,gabapentin,
133,113,164202ACH,661604550,알피가바펜틴캡슐300mg_(0.3g/1캡슐),(주)알피바이오,N03AX12,gabapentin,
134,113,164202ACH,661904150,카바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),영풍제약(주),N03AX12,gabapentin,
135,113,164202ACH,670301480,코오롱가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),코오롱제약(주),N03AX12,gabapentin,
136,113,164202ACH,694204820,가바텐션캡슐(가바펜틴)_(0.3g/1캡슐),정우신약(주),N03AX12,gabapentin,
137,113,164202ACH,696601610,바로펜틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),일양바이오팜(주),N03AX12,gabapentin,
138,113,164203ACH,642800050,가바틴캡슐400밀리그람(가바펜틴)_(0.4g/1캡슐),고려제약(주),N03AX12,gabapentin,
139,113,164203ACH,627600170,피엠에스가바펜틴캡슐400밀리그램_(0.4g/1캡슐),파마사이언스코리아(주),N03AX12,gabapentin,
140,113,164203ACH,642500380,동아가바펜틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),동아에스티(주),N03AX12,gabapentin,
141,113,164203ACH,626900670,테바가바펜퀄캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),(주)한독테바,N03AX12,gabapentin,
142,113,164203ACH,648900080,뉴론틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),한국화이자제약(주),N03AX12,gabapentin,
143,113,164203ACH,693902120,뉴로가펜캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),(주)셀트리온제약,N03AX12,gabapentin,
144,113,164204ATB,643300010,가바렙정600밀리그람(가바펜틴)_(0.6g/1정),(주)종근당,N03AX12,gabapentin,
145,113,164204ATB,642505270,동아가바펜틴정600밀리그램(가바펜틴)_(0.6g/1정),동아에스티(주),N03AX12,gabapentin,
146,113,164204ATB,648900040,뉴론틴정600밀리그램(가바펜틴)_(0.6g/1정),한국화이자제약(주),N03AX12,gabapentin,
147,113,164204ATB,642800010,가바틴정600밀리그램(가바펜틴)_(0.6g/1정),고려제약(주),N03AX12,gabapentin,
148,113,164204ATB,648600010,가바렉스정600밀리그램(가바펜틴)_(0.6g/1정),(주)씨엠지제약,N03AX12,gabapentin,
149,113,164204ATB,694000150,네버펜틴정600밀리그램(가바펜틴)_(0.6g/1정),대웅바이오(주),N03AX12,gabapentin,
150,113,164205ATB,642800020,가바틴정800밀리그램(가바펜틴)_(0.8g/1정),고려제약(주),N03AX12,gabapentin,
151,113,164205ATB,643300020,가바렙정800밀리그람(가바펜틴)_(0.8g/1정),(주)종근당,N03AX12,gabapentin,
152,113,164205ATB,642500340,동아가바펜틴정800밀리그램(가바펜틴)_(0.8g/1정),동아에스티(주),N03AX12,gabapentin,
153,113,164205ATB,648900050,뉴론틴정800밀리그램(가바펜틴)_(0.8g/1정),한국화이자제약(주),N03AX12,gabapentin,
154,113,164205ATB,643500040,가바페닌정800밀리그람(가바펜틴)_(0.8g/1정),한미약품(주),N03AX12,gabapentin,
155,113,181001ATB,658600170,라모진정100밀리그람(라모트리진)_(0.1g/1정),이연제약(주),N03AX09,lamotrigine,
156,113,181001ATB,642200660,라모티진정100밀리그램(라모트리진)_(0.1g/1정),부광약품(주),N03AX09,lamotrigine,
157,113,181001ATB,645300290,라비시틴정100밀리그람(라모트리진)_(0.1g/1정),한림제약(주),N03AX09,lamotrigine,
158,113,181001ATB,651900220,라모스탈정100밀리그램(라모트리진)_(0.1g/1정),명인제약(주),N03AX09,lamotrigine,
159,113,181001ATB,650000190,라믹탈정100밀리그램(라모트리진)_(0.1g/1정),(주)글락소스미스클라인,N03AX09,lamotrigine,
160,113,181001ATB,626900260,테바라모트리진츄어블정100밀리그램_(0.1g/1정),(주)한독테바,N03AX09,lamotrigine,
161,113,181001ATB,641600450,라미아트정100밀리그램(라모트리진)_(0.1g/1정),(주)대웅제약,N03AX09,lamotrigine,
162,113,181002ATB,645300270,라비시틴정25밀리그램(라모트리진)_(25mg/1정),한림제약(주),N03AX09,lamotrigine,
163,113,181002ATB,626900250,테바라모트리진츄어블정25밀리그램_(25mg/1정),(주)한독테바,N03AX09,lamotrigine,
164,113,181002ATB,650000170,라믹탈정25밀리그램(라모트리진)_(25mg/1정),(주)글락소스미스클라인,N03AX09,lamotrigine,
165,113,181002ATB,658602590,라모진정25mg(라모트리진)_(25mg/1정),이연제약(주),N03AX09,lamotrigine,
166,113,181002ATB,642202540,라모티진정25밀리그램(라모트리진)_(25mg/1정),부광약품(주),N03AX09,lamotrigine,
167,113,181002ATB,641600460,라미아트정25밀리그램(라모트리진)_(25mg/1정),(주)대웅제약,N03AX09,lamotrigine,
168,113,181003ATB,651903260,라모스탈정50밀리그램(라모트리진)_(50mg/1정),명인제약(주),N03AX09,lamotrigine,
169,113,181003ATB,645300280,라비시틴정50밀리그램(라모트리진)_(50mg/1정),한림제약(주),N03AX09,lamotrigine,
170,113,181003ATB,642202550,라모티진정50밀리그램(라모트리진)_(50mg/1정),부광약품(주),N03AX09,lamotrigine,
171,113,181003ATB,650000180,라믹탈정50밀리그램(라모트리진)_(50mg/1정),(주)글락소스미스클라인,N03AX09,lamotrigine,
172,113,181003ATB,626900380,테바라모트리진츄어블정50밀리그램_(50mg/1정),(주)한독테바,N03AX09,lamotrigine,
173,113,181003ATB,641600470,라미아트정50밀리그램(라모트리진)_(50mg/1정),(주)대웅제약,N03AX09,lamotrigine,
174,113,181003ATB,658602110,라모진정50mg(라모트리진)_(50mg/1정),이연제약(주),N03AX09,lamotrigine,
175,113,181004ATB,650000210,라믹탈츄어블정5밀리그램(라모트리진)_(5mg/1정),(주)글락소스미스클라인,N03AX09,lamotrigine,
176,113,206301ATB,641605750,트립탈정300밀리그램(옥스카르바제핀)_(0.3g/1정),(주)대웅제약,N03AF02,oxcarbazepine,
177,113,206301ATB,651903880,옥사제핀정300mg(옥스카르바제핀)_(0.3g/1정),명인제약(주),N03AF02,oxcarbazepine,
178,113,206301ATB,653601150,트리렙탈필름코팅정300밀리그램(옥스카르바제핀)_(0.3g/1정),한국노바티스(주),N03AF02,oxcarbazepine,
179,113,206301ATB,649502180,유니렙시정(옥스카르바제핀)_(0.3g/1정),유니메드제약(주),N03AF02,oxcarbazepine,
180,113,206302ATB,641605570,트립탈정600밀리그램(옥스카르바제핀)_(0.6g/1정),(주)대웅제약,N03AF02,oxcarbazepine,
181,113,206302ATB,651904400,옥사제핀정600mg(옥스카르바제핀)_(0.6g/1정),명인제약(주),N03AF02,oxcarbazepine,
182,113,206302ATB,653601160,트리렙탈필름코팅정600밀리그램(옥스카르바제핀)_(0.6g/1정),한국노바티스(주),N03AF02,oxcarbazepine,
183,113,206303ATB,641605560,트립탈정150밀리그램(옥스카르바제핀)_(0.15g/1정),(주)대웅제약,N03AF02,oxcarbazepine,
184,113,206303ATB,651904150,옥사제핀정150mg(옥스카르바제핀)_(0.15g/1정),명인제약(주),N03AF02,oxcarbazepine,
185,113,206303ATB,653601140,트리렙탈필름코팅정150밀리그램(옥스카르바제핀)_(0.15g/1정),한국노바티스(주),N03AF02,oxcarbazepine,
186,113,206330ASS,653601171,트리렙탈현탁액6%(옥스카르바제핀)_(6g/100mL),한국노바티스(주),N03AF02,oxcarbazepine,
187,113,217801ATB,641601060,대웅프리미돈정_(0.25g/1정),(주)대웅제약,N03AA03,primidone,
188,113,229701ATR,642201700,오르필서방정150밀리그램(발프로산나트륨)_(0.15g/1정),부광약품(주),N03AG01,valproic acid,
189,113,229703ATB,647801720,에필람정(발프로산나트륨)_(0.2g/1정),삼진제약(주),N03AG01,valproic acid,
190,113,229705ATB,651901670,올트릴정300밀리그램(발프로산나트륨)_(0.3g/1정),명인제약(주),N03AG01,valproic acid,
191,113,229705ATB,649500830,발폰정(발프로산나트륨)_(0.3g/1정),유니메드제약(주),N03AG01,valproic acid,
192,113,229705ATR,657200310,바렙톨서방정(발프로산나트륨)_(0.3g/1정),환인제약(주),N03AG01,valproic acid,
193,113,229705ATR,652100180,"데파킨크로노정300밀리그램_(발프로산나트륨, 0.3g/1정)",(주)한독,N03AG01,valproic acid,
194,113,229705ATR,642201710,오르필서방정300밀리그램(발프로산나트륨)_(0.3g/1정),부광약품(주),N03AG01,valproic acid,
195,113,229706ATR,652100190,"데파킨크로노정500밀리그램_(발프로산나트륨, 0.5g/1정)",(주)한독,N03AG01,valproic acid,
196,113,229707ATR,642201720,오르필서방정600밀리그램(발프로산나트륨)_(0.6g/1정),부광약품(주),N03AG01,valproic acid,
197,113,229734ASY,642201732,오르필시럽(발프로산나트륨)_(9g/150mL),부광약품(주),N03AG01,valproic acid,
198,113,241801ACR,644704520,큐덱시서방캡슐100밀리그램(토피라메이트)_(0.1g/1캡슐),에스케이케미칼(주),N03AX11,topiramate,
199,113,241801ATB,642500020,가바토파정100밀리그람(토피라메이트)_(0.1g/1정),동아에스티(주),N03AX11,topiramate,
200,113,241801ATB,670601230,세티정(토피라메이트)_(0.1g/1정),(주)휴온스,N03AX11,topiramate,
201,113,241801ATB,629700240,토피람정(토피라메이트)_(0.1g/1정),(주)오스코리아제약,N03AX11,topiramate,
202,113,241801ATB,627600130,피엠에스토피라메이트정100밀리그램_(0.1g/1정),파마사이언스코리아(주),N03AX11,topiramate,
203,113,241801ATB,651902130,토파메이트정100밀리그람(토피라메이트)_(0.1g/1정),명인제약(주),N03AX11,topiramate,
204,113,241801ATB,657200800,토피라트정100밀리그램(토피라메이트)_(0.1g/1정),환인제약(주),N03AX11,topiramate,
205,113,241801ATB,646900780,토파맥스정100밀리그램(토피라메이트)_(0.1g/1정),(주)한국얀센,N03AX11,topiramate,
206,113,241801ATB,642902290,토파메드정100밀리그램(토피라메이트)_(0.1g/1정),일동제약(주),N03AX11,topiramate,
